172.18.0.1 - - [14/Mar/2025:14:44:49 +0000] "POST /api/auth/login HTTP/1.1" 500 206585 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:14:45:15 +0000] "POST /api/auth/login HTTP/1.1" 500 17028 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:14:45:39 +0000] "POST /api/auth/login HTTP/1.1" 401 744 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:14:45:53 +0000] "POST /api/auth/login HTTP/1.1" 401 744 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:14:45:54 +0000] "POST /api/auth/login HTTP/1.1" 401 248 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:14:58:14 +0000] "POST /api/auth/login HTTP/1.1" 500 18275 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:14:59:13 +0000] "POST /api/auth/login HTTP/1.1" 500 18275 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:14:59:59 +0000] "POST /api/auth/login HTTP/1.1" 500 18271 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:15:00:18 +0000] "POST /api/auth/login HTTP/1.1" 500 17116 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:15:00:23 +0000] "POST /api/auth/login HTTP/1.1" 500 87475 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:15:00:30 +0000] "POST /api/auth/login HTTP/1.1" 500 17615 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:15:01:54 +0000] "POST /api/auth/login HTTP/1.1" 500 18931 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:15:02:13 +0000] "POST /api/auth/login HTTP/1.1" 500 18927 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:15:02:21 +0000] "POST /api/auth/login HTTP/1.1" 500 18269 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:15:02:35 +0000] "POST /api/auth/login HTTP/1.1" 500 18275 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:15:03:42 +0000] "POST /api/auth/login HTTP/1.1" 500 331203 "-" "PostmanRuntime/7.43.2" "-"
172.18.0.1 - - [14/Mar/2025:15:04:36 +0000] "POST /api/auth/login HTTP/1.1" 401 248 "-" "PostmanRuntime/7.43.2" "-"
